6.6267 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001EADF22B8E0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001EADF22B880>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([1., 1., 1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001EADF22B6D0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001EADF6C4430>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.6267 	EXP 	window1: mouseVisible = True
6.6267 	EXP 	window1: backgroundImage = ''
6.6268 	EXP 	window1: backgroundFit = 'none'
6.6269 	EXP 	window1: mouseVisible = True
6.6271 	EXP 	window1: mouseVisible = True
6.6291 	EXP 	window1: mouseVisible = True
6.6297 	EXP 	window1: mouseVisible = True
6.6832 	EXP 	window1: mouseVisible = True
6.6833 	EXP 	window1: mouseVisible = True
6.6839 	EXP 	window1: mouseVisible = True
6.6844 	EXP 	window1: mouseVisible = True
6.6985 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.6986 	EXP 	window1: recordFrameIntervals = False
6.8879 	EXP 	window1: recordFrameIntervals = True
7.0713 	EXP 	Screen (0) actual frame rate measured at 60.00Hz
7.0713 	EXP 	window1: recordFrameIntervals = False
7.0714 	EXP 	window1: mouseVisible = False
9.8242 	EXP 	Metalinguistic Conjunctives: status = STARTED
9.8253 	EXP 	window1: mouseVisible = True
